ID	EH1516A	EH1516C	EH1516D	EH217A	EH217C	EH217D
"101784"	1	0	1	293	366	424
"101798"	51	18	31	80	204	153
"101799"	8	26	21	0	4	0
"101808"	56	297	336	217	437	390
"101820"	20	24	99	204	222	204
"101824"	51	34	28	75	107	102
"101828"	7	3	13	71	59	78
"101833"	81	39	58	94	117	104
"101837"	15	16	19	258	517	219
"101844"	23	16	7	20	57	52
"101851"	0	0	1	1	1	2
"101855"	948	1707	3614	23	15	27
"101859"	0	0	0	0	0	0
"101864"	172	56	84	0	0	0
"101867"	0	0	1	34	81	90
"101881"	302	652	964	129	184	83
"101887"	16	14	4	20	24	24
"101890"	32	20	32	169	143	209
"101892"	3	23	27	242	105	106
"101896"	15	2	3	234	103	147
"101901"	0	0	5	259	558	927
"101902"	427	245	230	652	397	546
"101909"	21	11	11	51	87	93
"101917"	90	72	427	598	425	442
"101924"	27	37	32	86	332	120
"101927"	15	45	70	68	64	116
"101938"	0	0	1	35	136	20
"101939"	26	160	61	345	655	270
"101940"	1	1	3	8	13	16
"101945"	295	295	357	554	1035	600
"101952"	1	0	0	37	71	27
"101956"	134	259	346	476	634	673
"101959"	239	86	142	513	611	441
"101970"	598	179	205	1121	794	604
"101973"	281	751	851	610	1325	1137
"102000"	66	55	105	431	633	490
"102004"	7	14	60	44	45	63
"102006"	33	43	63	317	275	207
"102009"	17	24	36	65	123	107
"102015"	48	32	45	70	115	65
"102025"	2	1	0	1	0	0
"102029"	25	23	58	87	67	218
"102030"	17	9	20	424	955	381
"102035"	6	9	25	190	134	186
"102039"	7	3	5	81	146	42
"102051"	23	56	96	376	766	512
"102055"	41	53	179	225	379	345
"102057"	4	1	4	163	170	213
"102068"	1	9	11	114	238	113
"102071"	4	3	2	14	7	10
"102072"	9	1	1	43	87	78
"102092"	68	56	122	240	399	358
"102097"	96	179	184	966	539	551
"102111"	1	1	5	33	48	63
"102113"	0	0	0	2	4	3
"102114"	78	63	22	317	216	203
"102122"	0	0	0	0	3	5
"102143"	0	0	0	0	0	0
"102164"	2	3	9	8	15	9
"102166"	272	241	207	180	237	139
"102171"	64	5	19	31	124	26
"102200"	0	1	1	277	432	467
"102202"	63	103	208	246	234	265
"102203"	1	0	2	212	135	188
"102205"	52	34	52	219	309	200
"102210"	0	0	0	0	0	1
"102214"	205	253	312	480	304	610
"102218"	9	2	3	29	28	24
"102226"	10	35	22	124	250	155
"102241"	41	52	113	61	140	151
"102260"	26	16	24	31	39	32
"102266"	100	264	528	392	362	333
"102271"	134	34	31	297	287	260
"102278"	63	65	119	223	389	256
"102280"	29	51	45	48	50	62
"102305"	563	185	95	680	608	533
"102306"	15	3	7	247	163	201
"102317"	1	0	0	10	20	22
"102319"	30	290	403	165	157	256
"102327"	0	0	0	0	0	0
"102330"	21	43	55	48	52	52
"102336"	8	6	13	111	156	176
"102338"	0	0	0	1	23	2
"102345"	0	0	0	1	0	0
"102347"	1064	311	635	508	760	531
"102357"	17342	20533	20223	8095	5124	6419
"102362"	6	7	11	31	44	49
"102363"	13	18	15	149	209	221
"102380"	10	15	23	68	74	65
"102382"	0	0	1	6	14	0
"102386"	838	1199	734	1081	1367	617
"102390"	94	601	1271	484	1473	1102
"102395"	10	4	4	37	45	44
"102397"	19	2	7	287	196	264
"102403"	10	1	1	21	61	13
"102405"	4	5	4	0	0	0
"102411"	33	43	49	23	21	18
"102422"	1242	921	400	152	224	169
"102428"	120	91	144	491	1300	616
"102429"	116	74	96	273	342	293
"102430"	172	98	135	899	734	905
"102450"	8	7	22	141	160	130
"102453"	1	0	1	3	1	4
"102463"	118	74	92	98	223	117
"102464"	5	2	2	14	31	11
