,x
914,463377
915,354001
916,469000
917,457347
918,457349
919,236752
920,457350
921,115078
922,115083
923,457355
924,469008
925,115086
926,366983
927,558154
928,366984
929,236785
930,236787
931,443432
932,236792
933,115090
934,457359
935,236798
936,443440
937,236803
938,469014
939,457374
940,457375
941,457382
942,236911
943,236914
944,73631
945,236965
946,236976
947,367067
948,73655
949,237093
950,457455
951,237240
952,237243
953,457456
954,237246
955,115294
956,237248
957,469085
958,237259
959,315231
960,115308
961,237274
962,43826
963,457461
964,237278
965,457462
966,367173
967,237284
968,237285
969,115317
970,469091
971,115320
972,457464
973,237294
974,469093
975,237299
976,367195
977,115340
978,205752
979,205770
980,100656
981,205807
982,205810
983,205935
984,64743
985,100757
986,100764
987,206058
988,206074
989,457483
990,457507
991,457510
992,443582
993,237508
994,418804
995,237673
996,115493
997,237699
998,237703
999,237792
1000,237800
1001,237821
1002,237827
1003,237837
1004,237839
1005,469192
1006,73936
1007,457586
1008,457589
1009,237857
1010,457590
1011,469199
1012,450436
1013,100850
1014,427076
1015,310203
1016,206301
1017,421417
1018,206303
1019,354267
1020,206331
1021,238079
1022,238086
1023,238137
1024,238210
1025,315400
1026,74083
1027,206515
1028,100994
1029,427107
1030,435408
1031,435417
1032,206719
1033,421474
1034,206817
1035,206823
1036,469324
1037,238541
1038,469333
1039,238582
1040,443869
1041,115948
1042,443881
1043,631972
1044,457775
1045,457776
1046,367759
1047,522033
1048,238800
1049,238801
1050,469368
1051,238814
1052,238830
1053,238832
1054,238842
1055,457825
1056,116072
1057,206876
1058,206882
1059,450620
1060,435491
1061,435496
1062,427164
1063,101254
1064,207191
1065,101283
1066,64981
1067,450686
1068,469407
1069,239117
1070,116213
1071,254895
1072,457927
1073,116295
1074,116328
1075,74353
1076,458005
1077,239705
1078,239707
1079,116502
1080,368192
1081,632232
1082,123713
1083,116543
1084,458080
1085,239898
1086,239923
1087,116569
1088,431981
1089,194955
1090,95333
1091,61298
1092,349458
1093,195043
1094,95378
1095,631879
1096,195121
1097,349523
1098,95441
1099,195300
1100,195330
1101,432080
1102,461181
1103,349606
1104,461189
1105,195453
1106,61414
1107,447755
1108,195465
1109,349621
1110,447762
1111,432136
1112,195575
1113,447795
1114,61275
1115,461229
1116,447832
1117,195723
1118,195762
1119,432195
1120,95743
1121,195816
1122,469592
1123,116611
1124,116638
1125,240101
1126,458122
1127,116652
1128,240136
1129,116672
1130,116687
1131,469619
1132,240308
1133,419034
1134,444279
1135,116743
1136,419045
1137,424606
1138,116824
1139,101315
1140,354677
1141,207319
1142,65168
1143,435596
1144,65184
1145,463681
1146,435603
1147,207392
1148,207443
1149,427188
1150,207461
1151,463702
1152,101419
1153,101420
1154,450751
1155,207472
1156,450752
1157,450753
1158,56363
1159,65124
1160,450754
1161,207478
1162,207479
1163,463707
1164,463708
1165,207491
1166,207492
1167,450762
1168,354761
1169,207527
1170,450765
1171,207530
1172,310412
1173,116858
1174,444342
1175,116937
1176,469719
1177,240781
1178,458278
1179,444379
1180,458280
1181,240796
1182,469732
1183,631892
1184,240834
1185,469742
1186,240876
1187,240879
1188,240920
1189,463726
1190,207566
1191,435655
1192,207625
1193,354820
1194,450805
1195,207766
1196,101573
1197,65190
1198,368640
1199,315812
1200,240955
1201,255222
1202,447232
1203,469784
1204,241074
1205,241099
1206,241189
1207,241201
1208,117193
1209,469811
1210,241292
1211,117223
1212,123835
1213,241327
1214,368802
1215,117244
1216,458398
1217,241371
1218,241372
1219,469832
1220,117269
1221,241506
1222,241529
1223,241612
1224,368933
1225,255370
1226,123869
1227,255386
1228,207893
1229,435741
1230,207976
1231,65319
1232,207994
1233,101738
1234,463837
1235,450903
1236,208190
1237,458475
1238,241739
1239,79717
1240,368993
1241,241769
1242,241774
1243,117465
1244,241835
1245,75162
1246,117547
1247,469945
1248,558044
1249,101784
1250,208320
1251,355065
1252,208402
1253,450960
1254,208422
1255,242059
1256,458584
1257,117663
1258,469992
1259,242353
1260,117742
1261,101938
1262,101939
1263,435908
1264,208671
1265,435924
1266,435925
1267,208747
1268,435978
1269,208903
1270,117769
1271,242511
1272,75379
1273,242624
1274,117864
1275,50912
1276,458688
1277,117918
1278,117928
1279,444869
1280,242810
1281,458706
1282,242812
1283,463997
1284,355371
1285,208984
1286,436042
1287,208989
1288,208990
1289,208991
1290,208992
1291,464003
1292,464004
1293,355364
1294,209035
1295,415924
1296,436057
1297,436058
1298,464017
1299,65576
1300,65618
1301,209080
1302,451139
1303,436089
1304,209153
1305,209163
1306,451167
1307,451168
1308,355456
1309,436097
1310,451175
1311,242839
1312,444882
1313,242846
1314,369507
1315,242945
1316,118044
1317,470135
1318,430761
1319,243253
1320,444998
1321,118166
1322,243314
1323,243359
1324,445028
1325,243453
1326,118256
1327,436118
1328,102271
1329,209326
1330,436135
1331,209374
1332,451216
1333,464098
1334,209502
1335,369760
1336,75635
1337,445089
1338,458886
1339,243637
1340,118358
1341,631939
1342,243656
1343,470219
1344,118365
1345,243698
1346,470224
1347,243717
1348,445142
1349,458920
1350,447879
1351,461267
1352,432223
1353,61636
1354,195960
1355,447898
1356,432238
1357,95820
1358,95823
1359,461289
1360,461290
1361,196023
1362,196026
1363,349801
1364,196061
1365,196071
1366,196085
1367,461310
1368,432258
1369,196105
1370,196106
1371,432259
1372,349830
1373,432263
1374,196110
1375,45174
1376,447930
1377,196133
1378,48859
1379,432271
1380,461330
1381,196181
1382,632054
1383,196195
1384,461333
1385,461334
1386,432277
1387,447945
1388,196213
1389,196221
1390,432280
1391,461339
1392,420385
1393,196227
1394,461341
1395,95940
1396,95941
1397,432282
1398,61649
1399,349862
1400,432288
1401,447955
1402,432290
1403,95950
1404,432295
1405,447960
1406,447962
1407,349880
1408,432301
1409,432303
1410,196278
1411,461359
1412,447970
1413,95967
1414,196298
1415,196299
1416,308518
1417,461362
1418,461363
1419,196313
1420,95998
1421,196356
1422,432332
1423,96000
1424,447983
1425,447984
1426,308528
1427,196369
1428,196370
1429,447986
1430,447989
1431,196411
1432,349937
1433,196417
1434,196418
1435,448004
1436,96041
1437,448007
1438,448008
1439,448009
1440,461401
1441,196463
1442,196464
1443,349963
1444,196475
1445,196476
1446,96053
1447,196499
1448,196507
1449,196510
1450,196516
1451,349986
1452,632044
1453,448023
1454,461415
1455,349990
1456,432385
1457,349998
1458,196548
1459,61491
1460,196576
1461,61679
1462,420425
1463,196593
1464,432397
1465,61494
1466,420427
1467,350019
1468,631970
1469,461445
1470,61710
1471,420435
1472,52051
1473,96198
1474,448079
1475,451307
1476,436269
1477,209721
1478,102464
1479,427427
1480,60131
1481,355736
1482,209753
1483,102478
1484,464146
1485,436308
1486,102508
1487,209810
1488,451329
1489,59827
1490,451333
1491,102516
1492,209830
1493,209831
1494,451334
1495,451338
1496,436328
1497,209862
1498,436335
1499,102546
1500,436340
1501,436342
1502,209907
1503,451351
1504,209909
1505,53974
1506,458940
1507,243885
1508,445176
1509,255900
1510,243977
1511,558173
1512,458976
1513,470304
1514,244266
1515,244268
1516,244275
1517,244280
1518,244295
1519,244296
1520,118705
1521,244459
1522,244515
1523,118788
1524,118793
1525,445311
1526,370161
1527,244594
1528,244650
1529,118827
1530,118830
1531,445316
1532,436450
1533,210289
1534,102783
1535,210446
1536,244855
1537,445376
1538,244987
1539,370339
1540,459158
1541,316491
1542,445432
1543,119062
1544,464301
1545,436522
1546,66183
1547,210610
1548,451516
1549,102910
1550,210690
1551,66197
1552,451539
1553,356164
1554,459189
1555,245299
1556,425038
1557,102995
1558,102996
1559,451576
1560,436648
1561,103101
1562,245421
1563,245434
1564,245510
1565,76167
1566,470512
1567,103136
1568,451652
1569,464423
1570,211186
1571,436719
1572,245694
1573,245743
1574,245746
1575,245788
1576,245804
1577,119357
1578,119374
1579,370667
1580,211505
1581,66449
1582,66373
1583,436821
1584,464495
1585,211623
1586,256468
1587,370788
1588,425110
1589,246170
1590,459406
1591,246199
1592,459412
1593,459414
1594,246258
1595,196825
1596,196852
1597,196982
1598,196983
1599,197054
1600,197126
1601,96351
1602,432555
1603,197138
1604,426015
1605,96355
1606,448163
1607,350240
1608,197156
1609,96362
1610,350242
1611,350249
1612,461557
1613,197182
1614,96376
1615,197185
1616,448169
1617,96386
1618,197215
1619,414632
1620,55855
1621,432610
1622,448202
1623,432637
1624,197369
1625,432690
1626,197434
1627,96523
1628,197472
1629,420527
1630,461647
1631,197506
1632,197508
1633,432738
1634,197569
1635,51911
1636,96582
1637,197591
1638,448297
1639,432779
1640,436840
1641,211802
1642,632099
1643,356657
1644,246267
1645,521928
1646,445719
1647,103556
1648,66604
1649,436986
1650,419645
1651,422007
1652,51150
1653,212281
1654,437019
1655,464624
1656,212309
1657,212318
1658,212319
1659,212327
1660,464628
1661,212369
1662,451916
1663,451917
1664,212478
1665,103747
1666,246676
1667,124428
1668,459528
1669,212574
1670,103806
1671,451962
1672,437101
1673,212609
1674,212610
1675,103815
1676,58889
1677,212626
1678,451978
1679,212654
1680,427789
1681,451981
1682,451982
1683,212663
1684,451984
1685,437118
1686,451985
1687,451987
1688,356991
1689,212678
1690,212679
1691,356998
1692,212681
1693,212686
1694,437123
1695,464698
1696,437125
1697,437127
1698,103867
1699,212707
1700,437131
1701,451995
1702,451999
1703,212743
1704,103884
1705,422058
1706,470727
1707,459558
1708,470734
1709,246966
1710,256883
1711,119894
1712,119917
1713,459590
1714,437150
1715,212830
1716,464740
1717,437197
1718,247160
1719,247204
1720,213006
1721,213013
1722,104009
1723,464769
1724,431153
1725,120029
1726,48648
1727,213335
1728,213345
1729,104137
1730,464823
1731,104170
1732,213425
1733,213472
1734,357329
1735,76689
1736,247416
1737,76702
1738,104209
1739,104211
1740,213528
1741,104215
1742,104227
1743,452198
1744,67124
1745,437349
1746,464856
1747,213644
1748,213646
1749,464857
1750,213651
1751,104274
1752,213655
1753,213663
1754,437363
1755,452212
1756,104285
1757,213677
1758,437368
1759,213680
1760,452214
1761,213684
1762,464866
1763,437372
1764,357418
1765,422145
1766,464869
1767,464870
1768,213710
1769,104301
1770,464871
1771,427913
1772,213721
1773,104304
1774,213724
1775,357429
1776,416502
1777,213732
1778,104314
1779,67092
1780,213749
1781,422149
1782,437392
1783,213759
1784,437398
1785,446001
1786,120181
1787,437402
1788,452240
1789,213790
1790,104340
1791,104345
1792,213812
1793,357467
1794,67175
1795,213822
1796,464892
1797,213826
1798,357469
1799,464895
1800,213837
1801,213841
1802,213842
1803,213843
1804,213844
1805,67186
1806,427944
1807,213863
1808,437419
1809,67245
1810,213868
1811,213869
1812,452258
1813,464903
1814,213878
1815,437424
1816,104391
1817,464906
1818,213895
1819,104396
1820,104397
1821,357487
1822,213905
1823,213906
1824,213927
1825,437430
1826,104415
1827,54868
1828,213945
1829,437431
1830,452272
1831,213954
1832,311470
1833,41159
1834,44733
1835,464916
1836,437434
1837,437436
1838,452284
1839,446020
1840,247655
1841,247656
1842,247689
1843,104476
1844,214067
1845,214068
1846,214086
1847,437462
1848,214095
1849,437467
1850,437489
1851,632047
1852,452335
1853,214235
1854,214273
1855,214290
1856,104580
1857,464982
1858,120287
1859,51701
1860,214436
1861,357748
1862,632088
1863,56270
1864,247902
1865,459770
1866,357793
1867,214667
1868,465073
1869,465087
1870,257464
1871,104854
1872,214879
1873,437675
1874,214931
1875,214982
1876,215058
1877,104930
1878,470932
1879,120427
1880,215075
1881,215076
1882,215232
1883,465161
1884,215234
1885,437764
1886,215289
1887,248180
1888,248242
1889,465182
1890,67580
1891,437772
1892,358059
1893,215327
1894,105053
1895,452599
1896,452601
1897,311691
1898,452602
1899,215347
1900,437795
1901,452604
1902,465191
1903,465193
1904,452613
1905,215481
1906,105154
1907,437847
1908,446177
1909,215572
1910,465229
1911,67686
1912,105179
1913,452668
1914,452670
1915,215681
1916,215766
1917,52144
1918,358226
1919,215787
1920,248363
1921,248390
1922,248396
1923,215842
1924,358281
1925,105335
1926,465288
1927,216005
1928,216028
1929,248526
1930,358320
1931,43546
1932,452764
1933,216116
1934,452770
1935,105407
1936,465321
1937,105409
1938,452772
1939,437981
1940,105413
1941,465324
1942,216151
1943,216152
1944,452776
1945,248597
1946,77036
1947,248617
1948,120691
1949,459895
1950,105494
1951,59601
1952,67918
1953,452817
1954,216408
1955,465372
1956,105567
1957,465386
1958,471016
1959,248696
1960,461703
1961,448328
1962,197740
1963,197741
1964,461715
1965,448337
1966,197785
1967,461722
1968,631867
1969,41038
1970,448344
1971,448353
1972,197820
1973,197821
1974,197822
1975,96696
1976,448355
1977,58336
1978,461736
1979,197835
1980,197840
1981,432843
1982,42691
1983,96711
1984,350596
1985,448361
1986,432851
1987,461741
1988,197872
1989,197873
1990,197879
1991,96724
1992,350606
1993,432859
1994,461747
1995,96731
1996,197899
1997,197900
1998,96733
1999,197905
2000,197906
2001,461749
2002,448373
2003,197915
2004,96740
2005,432864
2006,461752
2007,197925
2008,448376
2009,197928
2010,448377
2011,96747
2012,197939
2013,197941
2014,448382
2015,197950
2016,197951
2017,197952
2018,197957
2019,58282
2020,432880
2021,432883
2022,54282
2023,461763
2024,461764
2025,432885
2026,432887
2027,197976
2028,308811
2029,197980
2030,96767
2031,448391
2032,350646
2033,59426
2034,432889
2035,96772
2036,96773
2037,197994
2038,96775
2039,197998
2040,197999
2041,198004
2042,96780
2043,198006
2044,448394
2045,198014
2046,198017
2047,558314
2048,198025
2049,432893
2050,96790
2051,350660
2052,198031
2053,198033
2054,350663
2055,62094
2056,448399
2057,198043
2058,62011
2059,448401
2060,448402
2061,432900
2062,461783
2063,52776
2064,426133
2065,448407
2066,432901
2067,522049
2068,448412
2069,432905
2070,432907
2071,198099
2072,432908
2073,461796
2074,198111
2075,198112
2076,52656
2077,448418
2078,420596
2079,448420
2080,198134
2081,432921
2082,448423
2083,198142
2084,198143
2085,198144
2086,62046
2087,448425
2088,96852
2089,448426
2090,461805
2091,198171
2092,198173
2093,62014
2094,198178
2095,432924
2096,432925
2097,96865
2098,198189
2099,198190
2100,414756
2101,448436
2102,198201
2103,198206
2104,632072
2105,198218
2106,448439
2107,96880
2108,96881
2109,198231
2110,198232
2111,96884
2112,350717
2113,558153
2114,350719
2115,216661
2116,358547
2117,358574
2118,216732
2119,465445
2120,452934
2121,216840
2122,452945
2123,452947
2124,465463
2125,105753
2126,216877
2127,105756
2128,216881
2129,67997
2130,55159
2131,358643
2132,438175
2133,105762
2134,438180
2135,452958
2136,48639
2137,216905
2138,216909
2139,51703
2140,105775
2141,105776
2142,216921
2143,105777
2144,311921
2145,216933
2146,216935
2147,216938
2148,216941
2149,105788
2150,416776
2151,358662
2152,216947
2153,438194
2154,105794
2155,416786
2156,105797
2157,216961
2158,216963
2159,216964
2160,452970
2161,68020
2162,216968
2163,216975
2164,216976
2165,216979
2166,428205
2167,216982
2168,438199
2169,216984
2170,216985
2171,216987
2172,120796
2173,248875
2174,248910
2175,248918
2176,120833
2177,217008
2178,438210
2179,217035
2180,105845
2181,217051
2182,217052
2183,217054
2184,47307
2185,57768
2186,217060
2187,105852
2188,416800
2189,438229
2190,358739
2191,358741
2192,217074
2193,217082
2194,217085
2195,217091
2196,358744
2197,452992
2198,358752
2199,428226
2200,217142
2201,105888
2202,453001
2203,217162
2204,217163
2205,105898
2206,60225
2207,248948
2208,371900
2209,120850
2210,465509
2211,68133
2212,217219
2213,453015
2214,453016
2215,105977
2216,106008
2217,120876
2218,249046
2219,49584
2220,471081
2221,422484
2222,453108
2223,453109
2224,453130
2225,68255
2226,453141
2227,438356
2228,358941
2229,249120
2230,371985
2231,459992
2232,249149
2233,43620
2234,217649
2235,106155
2236,217668
2237,47635
2238,453190
2239,68311
2240,106240
2241,217892
2242,217946
2243,217957
2244,249291
2245,249315
2246,249317
2247,121055
2248,249421
2249,372103
2250,106373
2251,106382
2252,218134
2253,52429
2254,438483
2255,218200
2256,631899
2257,359184
2258,106478
2259,372110
2260,249478
2261,106499
2262,55089
2263,106529
2264,218441
2265,218474
2266,438570
2267,218501
